UNITID,year,F2D01,F2D16,F2A02,F2A03,F2B02,F2B04,F2A04,F2A05B,F2I03,F2I05,F2I07,F2H01,F2H02,F2FHA
100690,2014,6765224,10236876,13848241.0,3019785.0,8348077.0,1888799.0,10242446.0,411205.0,,,,174805.0,174804.0,1
100937,2014,13489284,48876673,195685360.0,72417000.0,45134655.0,3742018.0,47128931.0,15752885.0,,,,50042970.0,53921439.0,1
101073,2014,2843422,12860451,17760303.0,3817334.0,13032162.0,-171711.0,11462292.0,815096.0,,,,,,2
101189,2014,33781384,42846547,89110757.0,42162603.0,44565242.0,-1718695.0,30232329.0,5397814.0,,,,18015943.0,19111352.0,1
101435,2014,10181662,22582643,81389270.0,27527679.0,20052724.0,2529919.0,3975007.0,2965176.0,,,,44721770.0,46921408.0,1
101453,2014,592145,4462283,13563571.0,2381836.0,2970324.0,1491959.0,3079162.0,3056152.0,,,,8515507.0,9141335.0,1
101541,2014,2430308,12160039,33813408.0,14887044.0,9197223.0,1666777.0,3754510.0,3508162.0,,,,15093396.0,16646068.0,1
101675,2014,8468101,29801209,95776523.0,40344970.0,27892046.0,1909163.0,49373070.0,3876412.0,,,,16954732.0,18354136.0,1
101693,2014,14035442,28843556,68396401.0,33290074.0,26690187.0,2153369.0,11003140.0,5380755.0,,,,20199568.0,22102795.0,1
101912,2014,21631958,55327159,90161674.0,20654626.0,51670636.0,3656523.0,50429353.0,15896523.0,,,,10333321.0,12014468.0,1
102049,2014,91464811,176643290,592181673.0,243369193.0,145519137.0,25530926.0,117868457.0,90187664.0,,,,294872360.0,323843012.0,1
102058,2014,2689000,5232538,2119088.0,299181.0,2953414.0,171869.0,1009192.0,0.0,,,,,,2
102234,2014,16359115,55557506,152242750.0,76657004.0,42548835.0,14014571.0,30130429.0,8159019.0,,,,20520876.0,22874407.0,1
102261,2014,1531359,3261077,11439470.0,2144448.0,2730339.0,530738.0,6557348.0,1229324.0,,,,1498852.0,1508350.0,1
102270,2014,9370543,20373826,68000982.0,46528145.0,20939067.0,-565241.0,3624910.0,0.0,,,,18267643.0,17344861.0,1
102298,2014,7359708,25375711,70073299.0,14303697.0,16379119.0,8996592.0,52451220.0,0.0,,,,3306091.0,3318382.0,1
102377,2014,42001973,160647494,438893395.0,197369701.0,152572824.0,8074670.0,99065278.0,60325466.0,,,,115273882.0,130243897.0,1
102395,2014,4655786,7193332,22122395.0,457338.0,5619432.0,2693813.0,21310960.0,354097.0,,,,1000000.0,1000000.0,1
102580,2014,195161,1116392,3307207.0,143172.0,1295273.0,178881.0,3023602.0,93600.0,,,,57471.0,57605.0,1
102669,2014,6610958,17257899,127970545.0,37549270.0,16569251.0,688648.0,66389131.0,8910751.0,,,,102565270.0,103679684.0,1
103778,2014,60858769,69445434,81963419.0,46828884.0,70380085.0,-934651.0,8559017.0,8906842.0,,,,24804249.0,28327909.0,1
103787,2014,218674,1732769,2197249.0,2617276.0,1971612.0,-238843.0,-672641.0,142248.0,,,,109862.0,110366.0,1
103945,2014,4736082,4736082,2656756.0,720097.0,3442310.0,1307601.0,1936659.0,0.0,,,,,,2
104586,2014,48026000,60210000,,,,,,,,,,0.0,24646477.0,1
104665,2014,580777,852473,,,,,,,,,,,,2
105589,2014,14088611,17841690,26512675.0,14120513.0,17305047.0,226547.0,10148090.0,787024.0,,,,1204649.0,1457048.0,1
105899,2014,4793916,11920916,24477432.0,13214202.0,12373732.0,-452816.0,9195745.0,139318.0,,,,1923396.0,1928167.0,1
106306,2014,7095848,13740379,38442050.0,29363139.0,17017230.0,-3285092.0,9078911.0,0.0,,,,,,2
106342,2014,4964214,20042531,71145035.0,20831605.0,18066802.0,1975729.0,1395420.0,3897386.0,,,,44341429.0,45020624.0,1
106546,2014,4716554,5021082,,,,,,,,,,,,-2
106713,2014,6148100,15774814,36314999.0,13351998.0,9671032.0,6103782.0,16740847.0,3407450.0,,,,2515648.0,2736455.0,1
106810,2014,1220910,2744070,3622193.0,388797.0,2390328.0,353742.0,1890089.0,27392.0,,,,1303145.0,1315915.0,1
107044,2014,69942083,133380265,361095802.0,91366314.0,117759855.0,15620410.0,145514484.0,27108336.0,,,,105172399.0,117046106.0,1
107080,2014,18400004,65917645,318686614.0,101651224.0,58460156.0,6975592.0,84722845.0,66775092.0,,,,173280855.0,179657921.0,1
107123,2014,424964,868257,,,,,,,,,,,,2
107141,2014,21969985,63434526,213510232.0,14942623.0,47994017.0,15440509.0,96242868.0,28792009.0,,,,80324375.0,92843034.0,1
107512,2014,16305731,50078169,208266942.0,84348955.0,40133442.0,9944727.0,19457727.0,17066237.0,,,,84143933.0,87394023.0,1
107558,2014,6753025,30291848,139852223.0,3359329.0,19940056.0,10351792.0,23962897.0,29222942.0,,,,92157588.0,100535743.0,1
107600,2014,4097292,16892963,59598180.0,26016283.0,15636606.0,1256357.0,16634101.0,9232243.0,,,,9624110.0,10732470.0,1
107840,2014,1826953,2465870,1416529.0,116124.0,2380266.0,85604.0,1041258.0,0.0,,,,254586.0,141000.0,1
107877,2014,3368730,9379115,39959503.0,5126867.0,8056026.0,1323089.0,23003089.0,1258133.0,,,,10406395.0,12645874.0,1
108269,2014,1401281,1607137,1754814.0,1029446.0,1599839.0,0.0,725368.0,0.0,,,,,,2
108852,2014,7013663,7172718,11279985.0,8255542.0,6074495.0,1054136.0,2987026.0,0.0,,,,1710098.0,1710098.0,1
108861,2014,516983,3335876,18025546.0,4190044.0,2575855.0,760021.0,6788245.0,1749410.0,,,,5096660.0,5297847.0,1
108870,2014,9817290,32513366,46602539.0,6908029.0,31848925.0,-967175.0,24842131.0,6890452.0,,,,7561179.0,7961927.0,1
109086,2014,1803181,32959595,107072553.0,52984046.0,20608970.0,12350625.0,8820249.0,19138109.0,,,,23403043.0,25302449.0,1
109651,2014,73212000,116808000,204677000.0,67652000.0,100719000.0,16089000.0,57490000.0,32344000.0,,,,69706000.0,85148000.0,1
109785,2014,191326812,249192432,365187421.0,179769656.0,244742038.0,5977241.0,128769270.0,26155453.0,,,,63909526.0,58088961.0,1
110060,2014,1351726,4083657,20407314.0,4696765.0,3451516.0,503675.0,15710549.0,0.0,,,,,,2
110097,2014,112667000,172126000,399423000.0,176116000.0,147391000.0,25236000.0,176940000.0,26370000.0,,,,93043117.0,113668417.0,1
110307,2014,4627082,6210653,3275708.0,2966532.0,6774972.0,-564319.0,289908.0,9268.0,,,,19268.0,19269.0,1
110316,2014,20169230,23370072,25698173.0,18725787.0,23025026.0,345046.0,4580155.0,1005508.0,,,,1382723.0,1386723.0,1
110361,2014,130930701,163657359,332218911.0,229761892.0,134067095.0,29590264.0,78504456.0,10292656.0,,,,14019392.0,15774938.0,1
110370,2014,55505000,67388000,141860000.0,53835000.0,60276000.0,7112000.0,53235000.0,14696000.0,,,,30334000.0,32096000.0,1
110404,2014,36307000,2315988000,4166404000.0,1649022000.0,2201797000.0,154818000.0,708350000.0,750967000.0,,,,1960435000.0,2118100000.0,1
110413,2014,78807609,141662275,309122113.0,93785627.0,98878597.0,43891262.0,133662405.0,30741084.0,,,,61760588.0,86235853.0,1
110468,2014,63549595,71724335,89455621.0,44679089.0,76727717.0,-5225063.0,36259081.0,7255865.0,,,,1333343.0,1261586.0,1
110918,2014,194610,487201,782574.0,257426.0,530359.0,-43158.0,413708.0,19841.0,,,,99305.0,103645.0,1
111081,2014,43595397,81167788,219424570.0,16188266.0,61422984.0,19744804.0,67911668.0,42540447.0,,,,115310499.0,137535200.0,1
111391,2014,23864152,27945264,86058455.0,19406124.0,28106695.0,-161431.0,60159566.0,2670384.0,,,,21853178.0,24308916.0,1
111638,2014,6845901,9564931,15597471.0,11667311.0,9436693.0,128238.0,3930160.0,0.0,,,,,,2
111708,2014,1495007,2655738,,,,,,,,,,,,-2
111717,2014,2287381,4166525,,,,,,,,,,,,-2
111726,2014,2894501,3432252,,,,,,,,,,,,-2
111744,2014,621948,1308596,,,,,,,,,,,,-2
111762,2014,1171673,1427036,,,,,,,,,,,,-2
111771,2014,784466,965066,,,,,,,,,,,,-2
111799,2014,891849,1046046,,,,,,,,,,,,-2
111948,2014,205257207,313365942,946633645.0,171345090.0,239502057.0,76771656.0,484805261.0,163378060.0,,,,229506000.0,273823000.0,1
111966,2014,12580300,66183900,158922200.0,53151900.0,51156600.0,13437900.0,25472700.0,46027400.0,,,,61873500.0,76672000.0,1
112075,2014,53699037,73171596,120466752.0,42541262.0,59008474.0,14163122.0,42852207.0,17430502.0,,,,12223641.0,17642781.0,1
112084,2014,16451911,17252712,17472371.0,13890348.0,19666536.0,-2413824.0,2544548.0,414748.0,,,,642861.0,653888.0,1
112127,2014,584850,4977385,26988959.0,2175636.0,4687587.0,289798.0,-1360352.0,3384983.0,,,,17275621.0,17562428.0,1
112251,2014,38982346,66864144,284578542.0,71701484.0,68707464.0,14107647.0,42094404.0,48979630.0,,,,171759196.0,190098597.0,1
112260,2014,40561000,205309000,1262675000.0,234601000.0,100715000.0,109630000.0,244907000.0,475273000.0,,,,599147000.0,699493000.0,1
112446,2014,9973264,12584848,12686182.0,4181285.0,15242240.0,-3629763.0,8504897.0,0.0,,,,,,2
112525,2014,156424883,177217825,300487662.0,202661793.0,161273077.0,15934428.0,78608251.0,11130103.0,,,,13205041.0,15493770.0,1
112570,2014,6260229,6942390,12190252.0,6053481.0,7513992.0,-571602.0,6136771.0,0.0,,,,,,2
113537,2014,654212,1059340,1240750.0,620897.0,1298939.0,-239599.0,529967.0,89886.0,,,,,,2
113698,2014,42904953,73461797,141606992.0,41792766.0,54453718.0,19008079.0,55197719.0,19545460.0,,,,27259987.0,34786972.0,1
113704,2014,873472,2786823,1976440.0,65324.0,2703333.0,83490.0,-710743.0,1343324.0,,,,1082391.0,1183795.0,1
114549,2014,20755221,21829130,29803874.0,7395891.0,20278143.0,1550987.0,18562280.0,1973958.0,,,,4196194.0,4810300.0,1
114734,2014,231218,5296762,10846252.0,215736.0,2351341.0,2945421.0,3900580.0,1828715.0,,,,4010325.0,4901221.0,1
114813,2014,44143590,53529734,82159840.0,33383423.0,59028816.0,-5499082.0,21559890.0,17468599.0,,,,11445801.0,12779152.0,1
114840,2014,24176000,93751000,318838000.0,73642000.0,59282000.0,34469000.0,54774000.0,80138000.0,,,,174842000.0,210081000.0,1
114947,2014,8154236,8154236,,,,,,,,,,,,-2
115083,2014,51193998,63766222,162225732.0,54875004.0,60133947.0,3632275.0,74591658.0,18775944.0,,,,65787439.0,70876119.0,1
115214,2014,1927844,11984076,49168874.0,1604058.0,8067316.0,3916760.0,14755635.0,13219533.0,,,,29351307.0,33458151.0,1
115409,2014,22774252,93208118,450018209.0,32881293.0,57892559.0,35892160.0,161238792.0,131538705.0,,,,241583964.0,283696431.0,1
