rank,UNITID,INSTNM,state,risk_score,driver_1,driver_2,driver_3,operating_margin,endowment_per_student,total_enrollment,enrollment_3yr_pct,actual_closed_by_2024
1,103945,,,1.0,tuition dependence (tuition / total revenue),3-yr enrollment % change,expendable net assets,-0.7864007720119442,,81.0,-0.4044117647058823,True
2,446677,,,0.9459459459459459,tuition dependence (tuition / total revenue),expendable net assets,3-yr enrollment % change,-1.3221004968726784,,70.0,-0.375,True
3,483586,,,0.9459459459459459,3-yr enrollment % change,tuition dependence (tuition / total revenue),expendable net assets,-0.1264311517848603,,15.0,-0.903846153846154,True
4,230630,,,0.9459459459459459,tuition dependence (tuition / total revenue),expendable net assets,3-yr enrollment % change,-0.9790771037670462,,157.0,-0.2764976958525346,True
5,126872,,,0.9459459459459459,tuition dependence (tuition / total revenue),3-yr enrollment % change,expendable net assets,-1.202322666170054,,139.0,-0.4754716981132075,True
6,477950,,,0.9411764705882353,tuition dependence (tuition / total revenue),3-yr enrollment % change,expendable net assets,-0.3070817365974094,,111.0,-0.4278350515463917,True
7,448752,,,0.9411764705882353,tuition dependence (tuition / total revenue),3-yr enrollment % change,tuition per student,-0.3051767773755286,,196.0,-0.4078549848942598,True
8,137801,,,0.9411764705882353,3-yr enrollment % change,expendable net assets,assets-to-liabilities ratio,-2.0038996341297484,,444.0,-0.8337701235492325,True
9,214023,ASPIRA City College,PA,0.8048780487804879,3-yr enrollment % change,undergrad enrollment,tuition & fees,-0.0814020798009697,,12.0,-0.7894736842105263,False
10,488590,Christian Culinary Academy,OR,0.8048780487804879,undergrad enrollment,total enrollment,expendable net assets,,,11.0,0.1,False
11,406547,,,0.8048780487804879,3-yr enrollment % change,expendable net assets,endowment EOY,,,335.0,-0.4122807017543859,True
12,478634,,,0.8048780487804879,tuition dependence (tuition / total revenue),tuition per student,expendable net assets,0.0290212585455976,,362.0,-0.2130434782608695,True
13,460899,,,0.8048780487804879,tuition dependence (tuition / total revenue),tuition per student,expendable net assets,-0.3681966400353831,,292.0,-0.2108108108108108,True
14,443128,,,0.8048780487804879,3-yr enrollment % change,endowment EOY,expendable net assets,0.9278424714141036,,799.0,-0.4733025708635465,True
15,474890,,,0.8048780487804879,tuition dependence (tuition / total revenue),expendable net assets,endowment EOY,0.2155059517638397,,710.0,-0.1517323775388291,True
16,438151,,,0.8048780487804879,3-yr enrollment % change,tuition dependence (tuition / total revenue),expendable net assets,0.6384229264871227,,530.0,-0.5966514459665144,True
17,485263,,,0.8048780487804879,tuition dependence (tuition / total revenue),expendable net assets,endowment EOY,0.0006536875242264,,933.0,-0.2969103240391861,True
