rank,UNITID,INSTNM,state,risk_score,driver_1,driver_2,driver_3,operating_margin,endowment_per_student,total_enrollment,enrollment_3yr_pct
1,449764,Visible Music College,TN,0.9459459459459459,assets-to-liabilities ratio,3-yr enrollment % change,expendable net assets,-0.33938166468678,56.87128712871287,202.0,-0.3803680981595092
2,497453,Jackson Theological Seminary,AR,0.9411764705882353,undergrad enrollment,total enrollment,tuition & fees,0.2739891265950389,,11.0,0.1
3,112570,California College of ASU,CA,0.8048780487804879,3-yr enrollment % change,assets-to-liabilities ratio,endowment EOY,0.633575816349612,,164.0,-0.8423076923076923
4,199883,Watts College of Nursing,NC,0.8048780487804879,tuition dependence (tuition / total revenue),expendable net assets,tuition per student,-0.4386262674441478,,159.0,-0.1166666666666666
5,455992,Vermont College of Fine Arts,VT,0.8048780487804879,3-yr enrollment % change,operating margin,expendable net assets,-0.6765660701575669,1868.679389312977,262.0,-0.3990825688073394
6,497462,Redeemers University North America,TX,0.8048780487804879,3-yr enrollment % change,expendable net assets,total assets,0.3321642688690414,,157.0,-0.5650969529085873
7,497000,Remington College-Online Dallas,TX,0.8048780487804879,3-yr enrollment % change,total assets,3-yr avg assets-to-liabilities,-0.6289820933480644,,155.0,-0.6770833333333334
8,223463,Remington College-Dallas Campus,TX,0.782608695652174,3-yr enrollment % change,expendable net assets,assets-to-liabilities ratio,-0.2232422611847554,,372.0,-0.4553440702781844
9,469629,Oklahoma Technical College,OK,0.782608695652174,tuition dependence (tuition / total revenue),expendable net assets,endowment EOY,0.0331717979900072,,215.0,-0.1917293233082706
10,375416,Remington College-Cleveland Campus,OH,0.782608695652174,expendable net assets,3-yr enrollment % change,assets-to-liabilities ratio,-0.1707493507562412,,266.0,-0.3282828282828283
11,112084,San Diego Christian College,CA,0.782608695652174,3-yr enrollment % change,assets-to-liabilities ratio,expendable net assets,-0.4664174805750054,4630.1466666666665,150.0,-0.7576736672051696
12,496706,Lakewood University,OH,0.782608695652174,expendable net assets,tuition dependence (tuition / total revenue),total assets,-0.2084035205381495,,378.0,-0.2867924528301886
13,192970,Memorial Hospital School of Radiation Therapy Technology,NY,0.782608695652174,3-yr enrollment % change,tuition dependence (tuition / total revenue),undergrad enrollment,,,12.0,-0.5714285714285714
14,195191,St. Joseph's College of Nursing,NY,0.6610169491525424,expendable net assets,endowment EOY,total assets,-0.2493529946296944,18715.07301587301,315.0,-0.2317073170731707
15,166407,Lawrence Memorial Hospital School of Nursing,MA,0.6610169491525424,tuition dependence (tuition / total revenue),revenue per student,3-yr enrollment % change,,,254.0,-0.2865168539325842
16,195438,Sh'or Yoshuv Rabbinical College,NY,0.6610169491525424,3-yr enrollment % change,expendable net assets,total assets,-0.0377718277084213,,171.0,-0.5546875
17,188517,Bryant & Stratton College-Albany,NY,0.6610169491525424,3-yr enrollment % change,expendable net assets,tuition dependence (tuition / total revenue),-0.8740616491731666,,321.0,-0.3528225806451613
18,443562,Dewey University-Hato Rey,PR,0.6610169491525424,expendable net assets,tuition per student,endowment EOY,0.2042649634568816,,596.0,-0.2319587628865979
19,456481,Polytechnic University of Puerto Rico-Miami,FL,0.6610169491525424,3-yr enrollment % change,expendable net assets,endowment EOY,,,55.0,-0.6099290780141844
20,166911,Montserrat College of Art,MA,0.6610169491525424,expendable net assets,total assets,endowment EOY,-0.2002334478859842,10212.209836065576,305.0,-0.1527777777777778
21,142957,American Islamic College,IL,0.6610169491525424,undergrad enrollment,3-yr enrollment % change,3-yr avg assets-to-liabilities,-0.0218456887966697,,18.0,-0.3333333333333333
22,140146,Interdenominational Theological Center,GA,0.6610169491525424,3-yr enrollment % change,expendable net assets,endowment EOY,-0.3540725532910628,86430.66666666667,69.0,-0.7261904761904762
23,457925,Portland Actors Conservatory,OR,0.6610169491525424,undergrad enrollment,total enrollment,tuition & fees,,,13.0,0.0833333333333333
24,377111,Remington College-Fort Worth Campus,TX,0.6610169491525424,assets-to-liabilities ratio,expendable net assets,3-yr revenue % change,-0.1980388723516021,,302.0,-0.233502538071066
25,475273,"Springfield College-Regional, Online, and Continuing Education",MA,0.6610169491525424,3-yr enrollment % change,tuition dependence (tuition / total revenue),expendable net assets,,,490.0,-0.3569553805774278
26,489937,Carolina University,NC,0.6,assets-to-liabilities ratio,3-yr avg assets-to-liabilities,total assets,-0.3607885753770147,337.4125874125874,1144.0,0.025089605734767
27,165264,Laboure College of Healthcare,MA,0.47619047619047616,3-yr enrollment % change,total assets,endowment EOY,-0.2660164106181139,9677.135802469136,972.0,-0.4378253325621746
28,117104,Life Pacific University,CA,0.47619047619047616,endowment EOY,expendable net assets,total assets,-0.2345797345626628,8256.06711409396,596.0,-0.0387096774193548
29,440271,Remington College-Baton Rouge Campus,LA,0.47619047619047616,assets-to-liabilities ratio,expendable net assets,endowment EOY,0.2214835091274355,,279.0,0.073076923076923
30,496399,Agape College of Business and Science,CA,0.47619047619047616,tuition & fees,assets-to-liabilities ratio,expendable net assets,0.0442446358195883,,69.0,0.5681818181818182
31,105589,Prescott College,AZ,0.35294117647058826,endowment EOY,expendable net assets,total assets,0.0520712680609388,2374.8476764199654,1162.0,-0.1493411420204978
32,214023,ASPIRA City College,PA,0.35294117647058826,expendable net assets,total assets,3-yr avg assets-to-liabilities,-5.80582983981799,,18.0,0.2
33,123633,South Baylo University,CA,0.35294117647058826,expendable net assets,operating margin,total assets,-0.6038104989126466,,303.0,-0.1512605042016806
34,441575,Metropolitan Learning Institute,NY,0.35294117647058826,undergrad enrollment,expendable net assets,endowment EOY,,,511.0,0.3307291666666667
35,120838,Pacific States University,CA,0.35294117647058826,expendable net assets,assets-to-liabilities ratio,total assets,0.2504151127477777,,71.0,0.7317073170731707
36,205027,Pontifical College Josephinum,OH,0.35294117647058826,3-yr enrollment % change,total assets,3-yr avg expenses-to-revenue,0.1431518131333636,415852.7625,80.0,-0.6172248803827751
37,475422,Finger Lakes Health College of Nursing & Health Sciences,NY,0.35294117647058826,3-yr enrollment % change,tuition dependence (tuition / total revenue),revenue per student,,,84.0,-0.4042553191489361
38,129774,Mitchell College,CT,0.35294117647058826,expendable net assets,total assets,endowment EOY,-0.1285675118113942,16757.1875,560.0,-0.0226876090750436
39,451404,Talmudical Seminary of Bobov,NY,0.34328358208955223,expendable net assets,tuition per student,endowment EOY,0.151101768743212,,516.0,0.0886075949367088
40,445708,Johnson & Wales University-Charlotte,NC,0.34328358208955223,change in net assets,assets-to-liabilities ratio,tuition per student,-0.3361475289960713,7432.229508196721,1220.0,-0.1075347476225311
41,451857,Remington College-Houston Southeast Campus,TX,0.34328358208955223,expendable net assets,operating margin,3-yr enrollment % change,-0.6368206567976858,,122.0,-0.2327044025157232
42,231147,Vermont Law and Graduate School,VT,0.34328358208955223,expendable net assets,total assets,endowment EOY,-0.0865010879494075,16331.88713592233,824.0,0.0338770388958594
43,239512,Northland College,WI,0.34328358208955223,expendable net assets,total assets,undergrad enrollment,-0.1066529521354866,12780.08764940239,502.0,-0.0938628158844765
44,152099,Oakland City University,IN,0.34328358208955223,endowment EOY,expendable net assets,3-yr avg expenses-to-revenue,-0.3326573520478111,6882.814102564103,780.0,-0.2507204610951009
45,487816,Midfield Institute of Cosmetology,AL,0.34328358208955223,3-yr enrollment % change,tuition & fees,expendable net assets,,,16.0,-0.3333333333333333
46,439862,Pacific Islands University,GU,0.34328358208955223,3-yr enrollment % change,tuition & fees,expendable net assets,0.0616943265374429,,81.0,-0.4335664335664335
47,434937,Yeshiva College of the Nations Capital,MD,0.34328358208955223,tuition & fees,expendable net assets,tuition per student,,,61.0,0.8484848484848485
48,445203,Remington College-North Houston Campus,TX,0.34328358208955223,3-yr avg assets-to-liabilities,assets-to-liabilities ratio,expendable net assets,-0.3400847988464146,,285.0,-0.1949152542372881
49,127653,Naropa University,CO,0.34328358208955223,endowment EOY,expendable net assets,total assets,-0.0094092211216049,3788.345189975748,1237.0,0.1338221814848762
50,496973,Herzing University-Tampa,FL,0.34328358208955223,total assets,expendable net assets,3-yr expendable net assets % change,-0.5512556870621818,,491.0,1.975757575757576
51,189413,Boricua College,NY,0.3370954846094204,3-yr avg operating margin,total assets,3-yr expendable net assets % change,-0.2965540252672941,975.44769874477,717.0,0.3012704174228675
52,233480,Bon Secours St Mary's Hospital School of Medical Imaging,VA,0.3232640055916072,tuition & fees,endowment EOY,undergrad enrollment,,,31.0,-0.0606060606060606
53,491640,Yeshiva Gedolah Keren Hatorah,NJ,0.3,expendable net assets,endowment EOY,total assets,0.1921557508742085,,196.0,0.1011235955056179
54,366535,Remington College-Mobile Campus,AL,0.3,expendable net assets,endowment EOY,total assets,0.0818193737721034,,358.0,-0.2494758909853249
55,120768,Pacific Oaks College,CA,0.25076452599388377,expendable net assets,total assets,3-yr expendable net assets % change,0.1468033565138117,8270.593276203032,1517.0,-0.0733048259010384
56,204893,Trinity Health System School of Nursing,OH,0.25076452599388377,expendable net assets,3-yr revenue % change,total revenue,,,45.0,0.2162162162162162
57,120537,Hope International University,CA,0.25076452599388377,expendable net assets,tuition per student,total assets,-0.1559729780003536,8696.466780238501,1174.0,-0.076317859952793
58,202912,Good Samaritan College of Nursing and Health Science,OH,0.25076452599388377,endowment EOY,expendable net assets,total assets,,8081.543535620052,758.0,0.7962085308056872
59,203544,Kettering College,OH,0.25076452599388377,endowment EOY,expendable net assets,total assets,,3014.7536585365856,1230.0,-0.0096618357487922
60,167792,Bard College at Simon's Rock,MA,0.25076452599388377,endowment EOY,tuition per student,undergrad enrollment,-0.30423318581498,4711.696883852691,353.0,-0.0710526315789473
61,171012,The Michigan Barber School,MI,0.25076452599388377,expendable net assets,3-yr revenue % change,endowment EOY,,,179.0,-0.0427807486631016
62,173683,Hazelden Betty Ford Graduate School,MN,0.25076452599388377,expendable net assets,total assets,3-yr expendable net assets % change,,123550.25287356322,261.0,0.0038461538461538
63,201061,Art Academy of Cincinnati,OH,0.25076452599388377,total assets,3-yr expendable net assets % change,expendable net assets,-0.0179409279823492,8967.946564885497,262.0,0.0438247011952191
64,199698,St. Andrews University,NC,0.25076452599388377,3-yr enrollment % change,expendable net assets,total assets,0.0237583138419315,8047.210650887574,845.0,-0.2875210792580101
65,491659,ICOHS College,CA,0.25076452599388377,total assets,endowment EOY,total liabilities,0.1300670585972768,,334.0,1.1688311688311688
66,202514,Defiance College,OH,0.25076452599388377,expendable net assets,total assets,undergrad enrollment,0.0119057014811853,35043.6520979021,572.0,-0.0818619582664526
67,201469,Bryant & Stratton College-Parma,OH,0.25076452599388377,tuition dependence (tuition / total revenue),expendable net assets,total assets,-0.3694451405846845,,866.0,-0.0441501103752759
68,493770,Vski Cosmetology School,SC,0.25076452599388377,tuition & fees,expendable net assets,endowment EOY,,,42.0,0.1666666666666666
69,486433,Presidio Graduate School,CA,0.25076452599388377,3-yr enrollment % change,expendable net assets,tuition per student,-0.0059687180203001,,118.0,-0.404040404040404
70,165167,Cambridge College,MA,0.25076452599388377,change in net assets,operating margin,3-yr avg operating margin,-1.3673411107261646,5140.164233576642,3014.0,-0.1831978319783198
71,165644,Eastern Nazarene College,MA,0.25076452599388377,total assets,undergrad enrollment,expendable net assets,-0.117802722177957,37858.41666666666,516.0,-0.2989130434782608
72,214476,Heritage Valley Health System School of Nursing,PA,0.25076452599388377,tuition & fees,expendable net assets,endowment EOY,,,62.0,0.0508474576271186
73,213622,UPMC St. Margaret School of Nursing,PA,0.25076452599388377,expendable net assets,endowment EOY,tuition dependence (tuition / total revenue),,,102.0,-0.135593220338983
74,490230,Reformed University,GA,0.25076452599388377,expendable net assets,endowment EOY,total assets,0.4545907523675432,,306.0,-0.1257142857142857
75,213774,Manor College,PA,0.25076452599388377,endowment EOY,total assets,expendable net assets,0.0253887725275445,6193.877372262774,685.0,-0.1161290322580645
76,488590,Christian Culinary Academy,OR,0.25076452599388377,total revenue,tuition & fees,revenue per student,,,21.0,0.6153846153846154
77,486284,Bethany Global University,MN,0.25076452599388377,3-yr enrollment % change,assets-to-liabilities ratio,expendable net assets,-0.1318668131707112,,241.0,-0.3657894736842105
78,211635,Citizens School of Nursing,PA,0.25076452599388377,expendable net assets,total assets,revenue per student,,,142.0,0.2456140350877192
